show,date,first_name,last_name,gender,party
Fox News Sunday,1/4/09,Steny,Hoyer,m,Democrat
Meet the Press,1/4/09,Harry,Reid,m,Democrat
This Week,1/4/09,Richard,Durbin,m,Democrat
This Week,1/4/09,Mitch,McConnell,m,Republican
Face the Nation,1/11/09,Richard,Durbin,m,Democrat
Face the Nation,1/11/09,John,Boehner,m,Republican
Face the Nation,1/11/09,Roland,Burris,m,Democrat
Meet the Press,1/11/09,David,Bonior,m,Democrat
Meet the Press,1/11/09,Maxine,Waters,f,Democrat
This Week,1/11/09,Barack,Obama,m,Democrat
Fox News Sunday,1/18/09,Nancy,Pelosi,f,Democrat
Meet the Press,1/18/09,Rahm,Emanuel,m,Democrat
State of the Union,1/18/09,Barack,Obama,m,Democrat
Face the Nation,1/25/09,Joseph,Biden,m,Democrat
Fox News Sunday,1/25/09,John,McCain,m,Republican
Fox News Sunday,1/25/09,Charles,Schumer,m,Democrat
Meet the Press,1/25/09,John,Boehner,m,Republican
State of the Union,1/25/09,Lindsey,Graham,m,Republican
This Week,1/25/09,Nancy,Pelosi,f,Democrat
Face the Nation,2/1/09,Mitch,McConnell,m,Republican
Face the Nation,2/1/09,Charles,Schumer,m,Democrat
Fox News Sunday,2/1/09,Richard,Durbin,m,Democrat
Fox News Sunday,2/1/09,Jon,Kyl,m,Republican
Meet the Press,2/1/09,John,Kerry,m,Democrat
Meet the Press,2/1/09,Kay,Hutchison,f,Republican
State of the Union,2/1/09,Ben,Nelson,m,Democrat
State of the Union,2/1/09,Susan,Collins,f,Republican
This Week,2/1/09,Jim,DeMint,m,Republican
This Week,2/1/09,Barney,Frank,m,Democrat
Face the Nation,2/8/09,Kent,Conrad,m,Democrat
Face the Nation,2/8/09,John,McCain,m,Republican
Fox News Sunday,2/8/09,John,Cornyn,m,Republican
Meet the Press,2/8/09,Barney,Frank,m,Democrat
Meet the Press,2/8/09,Mike,Pence,m,Republican
Meet the Press,2/8/09,John,Ensign,m,Republican
Meet the Press,2/8/09,Claire,McCaskill,f,Democrat
State of the Union,2/8/09,Charles,Schumer,m,Democrat
State of the Union,2/8/09,Ray,LaHood,m,Republican
State of the Union,2/8/09,Richard,Shelby,m,Republican
Face the Nation,2/15/09,Barney,Frank,m,Democrat
Face the Nation,2/15/09,Richard,Shelby,m,Republican
State of the Union,2/15/09,Aaron,Schock,m,Republican
State of the Union,2/15/09,John,McCain,m,Republican
This Week,2/15/09,Maxine,Waters,f,Democrat
This Week,2/15/09,Peter,King,m,Republican
This Week,2/15/09,Charles,Schumer,m,Democrat
This Week,2/15/09,Lindsey,Graham,m,Republican
Face the Nation,2/22/09,Ted,Strickland,m,Democrat
Face the Nation,2/22/09,Jon,Corzine,m,Democrat
Meet the Press,2/22/09,Charlie,Crist,m,Democrat
Meet the Press,2/22/09,Bobby,Jindal,m,Republican
State of the Union,2/22/09,Mitch,McConnell,m,Republican
Face the Nation,3/1/09,Rahm,Emanuel,m,Democrat
Fox News Sunday,3/1/09,Paul,Ryan,m,Republican
Fox News Sunday,3/1/09,Jon,Kyl,m,Republican
Meet the Press,3/1/09,Harold,Ford,m,Democrat
Meet the Press,3/1/09,Harold,Ford,m,Democrat
Meet the Press,3/1/09,Joe,Scarborough,m,Republican
State of the Union,3/1/09,Tom,Price,m,Republican
State of the Union,3/1/09,Peter,DeFazio,m,Democrat
State of the Union,3/1/09,Neil,Abercrombie,m,Democrat
This Week,3/1/09,Eric,Cantor,m,Republican
Face the Nation,3/8/09,John,Boehner,m,Republican
Fox News Sunday,3/8/09,John,McCain,m,Republican
Meet the Press,3/8/09,Charles,Schumer,m,Democrat
Meet the Press,3/8/09,Lindsey,Graham,m,Republican
State of the Union,3/8/09,Eric,Cantor,m,Republican
This Week,3/8/09,Evan,Bayh,m,Democrat
This Week,3/8/09,Richard,Shelby,m,Republican
This Week,3/8/09,Claire,McCaskill,f,Democrat
Fox News Sunday,3/15/09,Barney,Frank,m,Democrat
Fox News Sunday,3/15/09,Bob,Corker,m,Republican
Meet the Press,3/15/09,Eric,Cantor,m,Republican
State of the Union,3/15/09,Joe,Sestak,m,Democrat
This Week,3/15/09,Mitch,McConnell,m,Republican
Face the Nation,3/22/09,Charles,Grassley,m,Republican
Face the Nation,3/22/09,Barney,Frank,m,Democrat
Fox News Sunday,3/22/09,Richard,Shelby,m,Republican
State of the Union,3/22/09,Judd,Gregg,m,Republican
This Week,3/22/09,Kent,Conrad,m,Democrat
